OID_;Codigo;Municipio;Total;Mas65;Porcentaje
1;44001;Ababuj;76;23;30,26315789
2;40001;Abades;835;204;24,43113772
3;10001;Abadía;359;103;28,6908078
4;27001;Abadín;2297;949;41,31475838
5;48001;Abadiño;7618;1585;20,80598582
6;31001;Abáigar;84;27;32,14285714
7;9001;Abajas;29;10;34,48275862
8;26001;Ábalos;248;68;27,41935484
9;20001;Abaltzisketa;312;54;17,30769231
10;19001;Abánades;55;23;41,81818182
11;30001;Abanilla;6116;1577;25,78482668
12;50001;Abanto;89;42;47,19101124
13;48002;Abanto y Ciérvana-Abanto Zierbena;9436;1829;19,38321323
14;30002;Abarán;13066;2305;17,64120618
15;34001;Abarca de Campos;45;15;33,33333333
16;31002;Abárzuza/Abartzuza;538;137;25,46468401
17;31003;Abaurregaina/Abaurrea Alta;128;56;43,75
18;31004;Abaurrepea/Abaurrea Baja;29;13;44,82758621
19;15001;Abegondo;5494;1681;30,59701493
20;42001;Abejar;273;100;36,63003663
21;44002;Abejuela;57;18;31,57894737
22;25001;Abella de la Conca;171;45;26,31578947
23;2001;Abengibre;748;245;32,7540107
24;13001;Abenójar;1339;384;28,678118
25;31005;Aberin;346;88;25,43352601
26;10002;Abertura;400;117;29,25
27;49002;Abezames;58;28;48,27586207
28;16001;Abia de la Obispalía;57;22;38,59649123
29;34003;Abia de las Torres;167;41;24,5508982
30;22001;Abiego;271;77;28,41328413
31;22002;Abizanda;143;38;26,57342657
32;4001;Abla;1258;371;29,49125596
33;19002;Ablanque;60;31;51,66666667
34;31006;Ablitas;2480;547;22,05645161
35;8001;Abrera;12620;1979;15,681458
36;4002;Abrucena;1208;342;28,31125828
37;37001;Abusejo;166;76;45,78313253
38;28001;Acebeda, La;55;27;49,09090909
39;24001;Acebedo;185;70;37,83783784
40;10003;Acebo;560;213;38,03571429
41;16002;Acebrón, El;227;73;32,15859031
42;6001;Acedera;820;235;28,65853659
43;10004;Acehúche;813;202;24,84624846
44;10005;Aceituna;587;170;28,96081772
45;50002;Acered;140;67;47,85714286
46;6002;Aceuchal;5467;1022;18,69398207
47;22003;Adahuesca;190;48;25,26315789
48;47001;Adalia;52;18;34,61538462
49;14001;Adamuz;4141;900;21,73388071
50;5001;Adanero;196;70;35,71428571
51;38001;Adeje;48733;5436;11,15465906
52;46001;Ademuz;1027;254;24,7322298
53;31007;Adiós;167;36;21,55688623
54;19003;Adobes;32;12;37,5
55;46002;Ador;1772;372;20,99322799
56;4003;Adra;25501;3679;14,42688522
57;9003;Adrada de Haza;197;57;28,93401015
58;40002;Adrada de Pirón;39;11;28,20512821
59;5002;Adrada, La;2757;562;20,38447588
60;42003;Adradas;55;19;34,54545455
61;40003;Adrados;125;70;56
62;20002;Aduna;482;66;13,69294606
63;35001;Agaete;5695;1174;20,61457419
64;37002;Agallas;128;63;49,21875
65;25002;Àger;588;170;28,91156463
66;36020;Agolada;2228;920;41,29263914
67;50003;Agón;135;43;31,85185185
68;26002;Agoncillo;1153;258;22,37640937
69;3002;Agost;4906;990;20,1793722
70;25003;Agramunt;5464;1100;20,1317716
71;42004;Ágreda;3006;802;26,67997339
72;3003;Agres;580;147;25,34482759
73;18001;Agrón;255;58;22,74509804
74;41001;Aguadulce;2022;395;19,53511375
75;50004;Aguarón;616;176;28,57142857
76;9006;Aguas Cándidas;56;23;41,07142857
77;47002;Aguasal;17;5;29,41176471
78;44003;Aguatón;17;7;41,17647059
79;44004;Aguaviva;547;118;21,57221207
80;13002;Agudo;1638;521;31,80708181
81;22004;Agüero;139;55;39,56834532
82;40004;Aguilafuente;557;160;28,72531418
83;9007;Aguilar de Bureba;52;17;32,69230769
84;34004;Aguilar de Campoo;6711;1514;22,55997616
85;47003;Aguilar de Campos;257;84;32,6848249
86;31008;Aguilar de Codés;69;26;37,68115942
87;14002;Aguilar de la Frontera;13398;2538;18,94312584
88;8002;Aguilar de Segarra;286;55;19,23076923
89;44005;Aguilar del Alfambra;76;20;26,31578947
90;26003;Aguilar del Río Alhama;457;161;35,2297593
91;30003;Águilas;35956;6277;17,45744799
92;50005;Aguilón;234;93;39,74358974
93;35002;Agüimes;32105;3923;12,21928049
94;17001;Agullana;885;188;21,24293785
95;46004;Agullent;2369;466;19,67074715
96;38002;Agulo;1099;348;31,66515014
97;1051;Agurain/Salvatierra;5029;876;17,41896997
98;10006;Ahigal;1393;432;31,01220388
99;37003;Ahigal de los Aceiteros;114;51;44,73684211
100;37004;Ahigal de Villarino;24;11;45,83333333
101;6003;Ahillones;851;269;31,60987074
102;20016;Aia;2056;339;16,48832685
103;31009;Aibar/Oibar;782;227;29,02813299
104;46042;Aielo de Malferit;4592;790;17,20383275
105;46043;Aielo de Rugat;160;48;30
106;8014;Aiguafreda;2556;555;21,71361502
107;43001;Aiguamúrcia;960;220;22,91666667
108;17002;Aiguaviva;789;120;15,20912548
109;3004;Aigües;1049;198;18,87511916
110;12002;Aín;135;45;33,33333333
111;22907;Aínsa-Sobrarbe;2312;386;16,69550173
112;50006;Ainzón;1067;257;24,08622306
113;22006;Aisa;336;85;25,29761905
114;25038;Aitona;2493;556;22,30244685
115;20003;Aizarnazabal;795;129;16,22641509
116;28002;Ajalvir;4676;515;11,01368691
117;26004;Ajamil de Cameros;67;29;43,28358209
118;48911;Ajangiz;483;114;23,60248447
119;45001;Ajofrín;2236;509;22,76386404
120;44006;Alacón;235;109;46,38297872
121;50007;Aladrén;58;19;32,75862069
122;47004;Alaejos;1380;396;28,69565217
123;50008;Alagón;7121;1307;18,35416374
124;10903;Alagón del Río;933;222;23,79421222
125;7002;Alaior;9477;1676;17,68492139
126;21001;Alájar;814;158;19,41031941
127;38003;Alajeró;2047;430;21,00635076
128;29001;Alameda;5453;905;16,59636897
129;37005;Alameda de Gardón, La;67;43;64,17910448
130;45002;Alameda de la Sagra;3757;622;16,55576258
131;28003;Alameda del Valle;246;52;21,13821138
132;18002;Alamedilla;564;155;27,4822695
133;37006;Alamedilla, La;121;50;41,32231405
134;13003;Alamillo;470;191;40,63829787
135;19004;Alaminos;57;22;38,59649123
136;28004;Álamo, El;9908;1761;17,77351635
137;25004;Alamús, Els;773;166;21,47477361
138;6004;Alange;1850;406;21,94594595
139;41002;Alanís;1716;354;20,62937063
140;46005;Alaquàs;29649;5771;19,46440015
141;34005;Alar del Rey;908;277;30,50660793
142;37007;Alaraz;429;157;36,5967366
143;50009;Alarba;112;46;41,07142857
144;16003;Alarcón;151;46;30,46357616
145;19005;Alarilla;127;33;25,98425197
146;7001;Alaró;5741;896;15,6070371
147;25005;Alàs i Cerc;322;101;31,36645963
148;2002;Alatoz;496;184;37,09677419
149;44007;Alba;184;68;36,95652174
150;34006;Alba de Cerrato;83;27;32,53012048
151;37008;Alba de Tormes;5159;1073;20,79860438
152;37009;Alba de Yeltes;216;94;43,51851852
153;2003;Albacete;172722;29251;16,93530645
154;25006;Albagés, L';357;106;29,69187675
155;46006;Albaida;5975;1184;19,81589958
156;41003;Albaida del Aljarafe;3221;356;11,05246818
157;46007;Albal;16646;2198;13,20437342
158;10007;Albalá;681;218;32,01174743
159;13004;Albaladejo;1099;356;32,39308462
160;16004;Albaladejo del Cuende;236;120;50,84745763
161;46008;Albalat de la Ribera;3368;687;20,39786223
162;46009;Albalat dels Sorells;4110;811;19,7323601
163;46010;Albalat dels Tarongers;1324;225;16,9939577
164;22007;Albalate de Cinca;1125;257;22,84444444
165;16005;Albalate de las Nogueras;256;83;32,421875
166;19006;Albalate de Zorita;1080;250;23,14814815
167;44008;Albalate del Arzobispo;1977;516;26,10015175
168;22008;Albalatillo;188;65;34,57446809
169;4004;Albanchez;726;294;40,49586777
170;23001;Albanchez de Mágina;992;304;30,64516129
171;17003;Albanyà;178;32;17,97752809
172;19007;Albares;479;164;34,23799582
173;44009;Albarracín;990;234;23,63636364
174;45003;Albarreal de Tajo;708;163;23,02259887
175;2004;Albatana;681;223;32,74596182
176;25007;Albatàrrec;2224;279;12,54496403
177;3005;Albatera;12714;1930;15,18011641
178;22009;Albelda;686;238;34,69387755
179;26005;Albelda de Iregua;3484;695;19,94833525
180;16006;Albendea;122;55;45,08196721
181;19008;Albendiego;45;8;17,77777778
182;44010;Albentosa;294;54;18,36734694
183;16007;Alberca de Záncara, La;1581;365;23,08665402
184;37010;Alberca, La;1065;268;25,16431925
185;37011;Alberguería de Argañán, La;107;50;46,72897196
186;46011;Alberic;10571;1952;18,46561347
187;26006;Alberite;2518;488;19,38046068
188;50010;Alberite de San Juan;77;25;32,46753247
189;22011;Albero Alto;118;33;27,96610169
190;22012;Albero Bajo;137;33;24,08759124
191;22013;Alberuela de Tubo;306;100;32,67973856
192;25008;Albesa;1561;365;23,38244715
193;50011;Albeta;140;40;28,57142857
194;25009;Albi, L';749;237;31,64218959
195;9009;Albillos;221;32;14,47963801
196;43002;Albinyana;2504;496;19,80830671
197;43003;Albiol, L';515;70;13,59223301
198;20004;Albiztur;316;55;17,40506329
199;12003;Albocàsser;1253;347;27,69353551
200;4005;Alboloduy;612;195;31,8627451
201;18003;Albolote;19128;2527;13,21099958
202;18004;Albondón;722;174;24,09972299
203;17004;Albons;798;169;21,17794486
204;46012;Alborache;1283;270;21,04442712
205;46013;Alboraia/Alboraya;24904;3975;15,96129136
206;2005;Alborea;670;188;28,05970149
